Human proteins with longest sequences from UniProt reference proteome Homo_sapiens_UP000005640.

Length  Id   Name         Description
-------------------------------------
34350 Q8WZ42|TITIN_HUMAN Titin
14507 Q8WXI7|MUC16_HUMAN Mucin-16
8797 Q8NF91|SYNE1_HUMAN Nesprin-1
8384 Q7Z5P9|MUC19_HUMAN Mucin-19
7968 Q5VST9|OBSCN_HUMAN Obscurin
7570 Q03001|DYST_HUMAN Dystonin
7388 Q9UPN3|MACF1_HUMAN Microtubule-actin cross-linking factor 1, isoforms 1/2/3/5
6907 Q5CZC0|FSIP2_HUMAN Fibrous sheath-interacting protein 2
6885 Q8WXH0|SYNE2_HUMAN Nesprin-2
6669 P20929|NEBU_HUMAN Nebulin
6306 Q8WXG9|AGRV1_HUMAN Adhesion G-protein coupled receptor V1
5890 Q09666|AHNK_HUMAN Neuroblast differentiation-associated protein AHNAK
5795 Q8IVF2|AHNK2_HUMAN Protein AHNAK2
5762 Q9HC84|MUC5B_HUMAN Mucin-5B
5654 P98088|MUC5A_HUMAN Mucin-5AC
5635 Q96RW7|HMCN1_HUMAN Hemicentin-1
5596 Q9NU22|MDN1_HUMAN Midasin
5537 O14686|KMT2D_HUMAN Histone-lysine N-methyltransferase 2D
5478 Q9UKN1|MUC12_HUMAN Mucin-12
5405 Q9Y6R7|FCGBP_HUMAN IgGFc-binding protein
5207 Q63HN8|RN213_HUMAN E3 ubiquitin-protein ligase RNF213
5207 P0DPF2|NBPFK_HUMAN Neuroblastoma breakpoint family member 20
5202 O75445|USH2A_HUMAN Usherin
5183 Q5T4S7|UBR4_HUMAN E3 ubiquitin-protein ligase UBR4
5179 Q02817|MUC2_HUMAN Mucin-2
5150 A2VEC9|SSPO_HUMAN SCO-spondin
5142 Q9Y6V0|PCLO_HUMAN Protein piccolo
5121 Q4G0P3|HYDIN_HUMAN Hydrocephalus-inducing protein homolog
5088 P58107|EPIPL_HUMAN Epiplakin
5059 Q8NDA2|HMCN2_HUMAN Hemicentin-2
5058 Q86UQ4|ABCAD_HUMAN ATP-binding cassette sub-family A member 13
5038 P21817|RYR1_HUMAN Ryanodine receptor 1
5005 Q2LD37|K1109_HUMAN Transmembrane protein KIAA1109
4981 Q6V0I7|FAT4_HUMAN Protocadherin Fat 4
4967 Q92736|RYR2_HUMAN Ryanodine receptor 2
4911 Q8NEZ4|KMT2C_HUMAN Histone-lysine N-methyltransferase 2C
4870 Q15413|RYR3_HUMAN Ryanodine receptor 3
4861 Q15751|HERC1_HUMAN Probable E3 ubiquitin-protein ligase HERC1
4857 Q9NR09|BIRC6_HUMAN Baculoviral IAP repeat-containing protein 6
4834 O95714|HERC2_HUMAN E3 ubiquitin-protein ligase HERC2
4753 Q96M86|DNHD1_HUMAN Dynein heavy chain domain-containing protein 1
4700 Q9P2P6|STAR9_HUMAN StAR-related lipid transfer protein 9
4684 Q15149|PLEC_HUMAN Plectin
4678 O75592|MYCB2_HUMAN E3 ubiquitin-protein ligase MYCBP2
4655 P98164|LRP2_HUMAN Low-density lipoprotein receptor-related protein 2
4646 Q14204|DYHC1_HUMAN Cytoplasmic dynein 1 heavy chain 1
